Date,name,code,Sector_main,sector,price,volume,EMA10,ADX,ATR,MACD,MACDsignal,ClgtEMA10,MACDSIGgtMACD,RSI,EPS,P/E,DY,DPS,Market_Cap (M),debt_ratio,debt-equity_ratio,polarity,risk,target
4/11/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.48,1000.0,1.466913877111511,59.3382004503336,0.029110543167216254,0.005623909238295699,0.003144833102901096,1,-1,58.418117426932945,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.979300561,low,0
4/12/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.48,2161.0,1.4692931721821454,58.30792601724334,0.029174075798129383,0.00643809488671554,0.003803485459663985,1,-1,58.41811742693296,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/15/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.48,1817.0,1.471239868149028,57.3512426150881,0.02851878466969157,0.007002621022808464,0.004443312572292881,1,-1,58.41811742693296,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,1
4/17/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,1893.0,1.474650801212841,55.23095970234669,0.02791030005042789,0.008162832428319167,0.0051872165434981386,1,-1,62.11721406971138,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/19/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,632.0,1.477441564628688,53.57328935456394,0.027345278618254473,0.008978806236872527,0.0059455344821730165,1,-1,62.11721406971139,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,1
4/22/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.5,897.0,1.481543098332563,51.45964506838005,0.02753490157409344,0.010313500175347379,0.006819127620807889,1,-1,65.66012036144363,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/23/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,714.0,1.4830807168175515,49.49697537406644,0.026996694318801053,0.010443946991242514,0.007544091494894814,1,-1,59.65214046318006,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/24/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,416.0,1.4843387683052693,47.6744963722038,0.026496930438886696,0.010427129573596483,0.008120699110635147,1,-1,59.65214046318006,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/25/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,396.0,1.4853680831588567,45.98219444190278,0.025318578264680505,0.010295125846681685,0.008555584457844455,1,-1,59.65214046318005,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/26/2019,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,Main Market,Consumer Products & Services ,1.49,1570.0,1.4862102498572465,46.20020230213906,0.027795822674346188,0.010074380751843304,0.008859343716644225,1,-1,59.65214046318006,4.16,35,0.0,0.0,1800.7,0.057976975,0.061545178,0.0,low,0
4/11/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,950.0,0.5192058372027324,15.295283727494896,0.00716287859887015,-0.0016039243761896138,-0.0005120947337269063,-1,1,42.39271532387435,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/11/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,950.0,0.5192058372027324,15.295283727494896,0.00716287859887015,-0.0016039243761896138,-0.0005120947337269063,-1,1,42.39271532387435,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/11/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,950.0,0.5192058372027324,15.295283727494896,0.00716287859887015,-0.0016039243761896138,-0.0005120947337269063,-1,1,42.39271532387435,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/11/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,950.0,0.5192058372027324,15.295283727494896,0.00716287859887015,-0.0016039243761896138,-0.0005120947337269063,-1,1,42.39271532387435,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/12/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,217.0,0.5193502304385992,16.097774576064655,0.007008387270379425,-0.001484630574072776,-0.0007066019017960803,1,1,46.766468042393775,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/12/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,217.0,0.5193502304385992,16.097774576064655,0.007008387270379425,-0.001484630574072776,-0.0007066019017960803,1,1,46.766468042393775,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/12/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,217.0,0.5193502304385992,16.097774576064655,0.007008387270379425,-0.001484630574072776,-0.0007066019017960803,1,1,46.766468042393775,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/12/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,217.0,0.5193502304385992,16.097774576064655,0.007008387270379425,-0.001484630574072776,-0.0007066019017960803,1,1,46.766468042393775,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/15/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,740.0,0.518559279449763,16.051294404231346,0.006864931036780895,-0.0017731083009148163,-0.0009199031816198275,-1,1,43.23167820077274,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/17/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.52,366.0,0.5188212286407152,16.008134244671844,0.0067317216770108315,-0.0015800568527036818,-0.0010519339158365983,1,1,47.504691114146866,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,0
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0438,2.3,89.0,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
4/19/2019,A-RANK BHD,7214,Main Market,Industrial Products & Services ,0.515,210.0,0.5181264597969488,15.207603121587814,0.006608027271510058,-0.0018096597710259843,-0.0012034790868744754,-1,1,43.94264886993102,7.76,7,0.0442,2.3,88.1,0.002416324,0.002422176,0.0,medium,1
