full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250, Main Market,Consumer Products & Services ,1.25,1.57,50.61,35,4.16,0,0,17.76,179.68,1,1800.70,Neutral,59.8,Neutral,66.7
ABLEGROUP BERHAD,7086, Main Market,Industrial Products & Services ,0.07,0.135,-2.18,-20,-0.37,0,0,0.44,1.5,5,19.80,Neutral,51,Neutral,50
ABM FUJIYA BERHAD,5198, Main Market,Industrial Products & Services ,0.37,0.74,2.72,21,2.39,0,0,0.58,62.24,1,91.80,Neutral,48.9,Neutral,36.7
ACOUSTECH BERHAD,7120, Main Market,Consumer Products & Services ,0.3,0.49,-7.46,-12,-3.88,0,0,0.88,18.71,2,88.50,Neutral,63.5,Neutral,76.9
ADVANCE SYNERGY BERHAD,1481, Main Market,Consumer Products & Services ,0.105,0.24,-1.17,-24,-0.53,0,0,0.28,30.52,0,116.10,Neutral,48.2,Oversold,0
ADVANCECON HOLDINGS BERHAD,5281, Main Market,Construction ,0.25,0.77,5.87,15,2.64,1,0.0256,0.87,67.86,1,156.80,Overbought,78.1,Overbought,93.3
ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148, Main Market,Industrial Products & Services ,1.78,2.11,3.26,37,5.09,4,0.0211,1.22,123.96,2,39.00,Neutral,38.9,Oversold,0
ADVENTA BERHAD,7191, Main Market,Health Care ,0.35,0.625,-48.25,-2,-17.37,0,0,1.07,30.2,1,58.80,Neutral,54.5,Overbought,100
AE MULTI HOLDINGS BERHAD,7146, Main Market,Industrial Products & Services ,0.11,0.185,-3.83,-16,-0.69,0,0,0.61,20.44,1,32.90,Neutral,41,Oversold,0
AEON CO. (M) BHD,6599, Main Market,Consumer Products & Services ,1.39,2.65,5.2,21,7.49,0,0,1.11,310.09,1,2246.40,Neutral,57,Neutral,50
AFFIN BANK BERHAD,5185, Main Market,Financial Services ,2.18,2.63,5.79,9,25.33,4.9,0.0216,0.52,96.71,2,4508.30,Neutral,47.3,Oversold,12.5
AHMAD ZAKI RESOURCES BERHAD,7078, Main Market,Construction ,0.28,0.81,3.17,19,2.45,0.88,0.0185,0.62,205.48,0,284.00,Neutral,67.7,Neutral,75
AIRASIA GROUP BERHAD,5099, Main Market,Consumer Products & Services ,2.3,4.18,32.57,5,60.58,64,0.223,1.54,317.51,1,9591.50,Neutral,44.3,Neutral,30
AJINOMOTO (MALAYSIA) BERHAD,2658, Main Market,Consumer Products & Services ,17.74,25.5,13.11,19,97.77,46.5,0.025,2.49,729.13,3,1130.90,Neutral,46.3,Neutral,23.1
ALAM MARITIM RESOURCES BERHAD,5115, Main Market,Energy ,0.06,0.16,-43.98,-1,-18.91,0,0,0.27,10.09,1,106.30,Neutral,61.4,Overbought,100
ALCOM GROUP BERHAD,2674, Main Market,Industrial Products & Services ,0.42,0.905,2.81,20,2.56,0,0,0.57,287.13,0,69.90,Neutral,52.6,Neutral,50
ALLIANCE BANK MALAYSIA BERHAD,2488, Main Market,Financial Services ,3.76,4.49,9.67,12,34.8,15.3,0.037,1.15,104.79,4,6409.20,Neutral,46.9,Neutral,60
AMCORP PROPERTIES BERHAD,1007, Main Market,Property ,0.49,0.755,3.99,7,7.3,3.88,0.0746,0.28,20.6,3,316.90,Neutral,45.2,Neutral,33.3
AMVERTON BERHAD,5959, Main Market,Property ,0.87,1.22,10.55,5,20.67,0,0,0.52,32.64,3,372.40,Neutral,57.2,Neutral,71.4
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351, Main Market,Consumer Products & Services ,5.6,8.52,25.12,19,33.16,27.5,0.0448,4.65,591.46,1,1009.30,Neutral,56.7,Neutral,68
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.01,2.84,3.64,15,7.22,1.85,0.0167,0.56,115.5,1,133.30,Neutral,43.5,Oversold,0
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.01,2.84,3.64,15,7.22,1.85,0.0168,0.55,115.5,1,132.10,Neutral,42.4,Oversold,0
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.01,2.84,3.64,15,7.22,1.85,0.017,0.55,115.5,1,130.90,Neutral,41.2,Oversold,0
ANN JOO RESOURCES BERHAD,6556, Main Market,Industrial Products & Services ,1.15,3.48,10.86,6,26.71,12,0.075,0.65,414.73,0,895.90,Neutral,63.4,Overbought,85.7
ANZO HOLDINGS BERHAD,9342, Main Market,Industrial Products & Services ,0.035,0.065,-2.53,-10,-0.42,0,0,0.24,0.71,6,35.20,Neutral,51.7,Overbought,100
