company,code,ta,tl,te,net_o,net_i,net_f
A-RANK BHD,7214,108677499,262600,108414899,-449824,22418872,-3900000
ABF MALAYSIA BOND INDEX FUND,0800EA,1476350887,58096752,1418254135,39756854,,-32073250
AEMULUS HOLDINGS BERHAD,181,59576103,212773,59363330,-639598,394992,2384997
AFFIN BANK BERHAD,5185,49130609000,41209665000,7920944000,-8559000,-136245000,395199000
AJIYA BHD,7609,109301553,345371,108956182,-967053,-15630840,-6454251
AL-SALAM REAL ESTATE INVESTMENT TRUST,5269,1153934355,532982224,620952131,52447520,-5509457,-48018111
AL-AQAR HEALTHCARE REIT,5116,1551718000,608479000,943239000,42800633,147405,-48145464
AMANAH HARTA TANAH PNB,4952,482781355,200616253,282165102,19914742,517732,-22319011
AMANAHRAYA REITS,5127,1499264735,724050981,775213754,74612430,-81167011,-155503626
AMTEL HOLDINGS BHD,7031,37312822,6283531,31029291,1667208,1229514,4048619
ANZO HOLDINGS BERHAD,9342,150808753,1478923,149329830,-99538367,-106000,107704173
APB RESOURCES BHD,5568,113590574,3061318,110529256,270513,3166508,-3325344
ASEAN CATALYST ,,,,,-19892868,4812747,16631588
ASTINO BHD,7162,516664589,154404821,336856219,-244417,-33579009,30626528
ATRIUM REITS,5130,287584454,104981531,182602923,10021398,-7730969,-6911232
ATURMAJU RESOURCES BHD,7181,12104000,752000,11352000,-816000,-806000,1625000
AXIS REITS,5106,2840463000,1176382000,1664081000,164193000,-270596000,92985000
BATU KAWAN BHD,1899,1395227000,510959000,884268000,919255000,-337373000,-665122000
BCB BHD,6602,1168908000,1.80E+11,2.99E+11,46535578000,-24790500000,-18961005000
BINA DARULAMAN BHD,6173,745010000,286348000,458662000,-32499000,-21036000,-6725000
BINTULU PORT HOLDINGS BHD,5032,1058537000,21194000,1037343000,-8458000,140293000,-82800000
BOUSTEAD HEAVY INDUSTRIES CORP,8133,363472000,145708000,217764000,-39654000,-25000,34804000
BOUSTEAD HOLDINGS BHD,2771,6896900000,3243600000,3653300000,-37000000,361900000,-169000000
BOUSTEAD PLANTATIONS BHD,5254,3295672000,1345478000,1950194000,83000,110557000,-72624000
BRITISH AMERICAN TOBACCO (M),4162,1108385000,576443000,531942000,476104000,270000,-407178000
BURSA MALAYSIA BHD,1818,2434560000,1547111000,887449000,-14300000,245205000,-274981000
CAB CAKARAN CORPORATION BHD,7174,154877184,12493064,142384120,-1952128,-11242131,12957810
CAHYA MATA SARAWAK BHD,2852,2774750000,16622821000,1111929000,,,
CARIMIN PETROLEUM BERHAD,5257,152906000,268000,152638000,-316000,-1212000, -   
CARLSBERG BREWERY MALAYSIA BHD,2836,693661000,298830000,394831000,96001000,184191000,-272827000
CEPATWAWASAN GROUP BHD,8982,516773000,157145000,359628000,525000,10450000,-11919000
CHIN TECK PLANTATIONS BHD,1929,696242506,17946816,678295690,25214110,29369290,-27408975
CIMB GROUP HOLDINGS BERHAD,1023,5.34E+11,4.82E+11,,,,
CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117,222164000,2943000,219221000,7437000, -   ,-7567000
CME GROUP BHD,7018,109083000,56233000,52850000,3254000,-5235000,6158000
CAPITALAND MALAYSIA MALL TRUST,5180,4143170000,1476589000,2666581000,177991000,-31501000,-231484000
CONCRETE ENGINEERING PRODUCTS,8435,216956,108922,108035,-5569724,1151257,5968184
COUNTRY VIEW BHD,5049,191476000,28080000,163396000,-2329000,47251000,40575000
CYCLE & CARRIAGE BINTANG BHD,2925,776528000,483221000,293307000,-10768000,-8539000,34371000
CYPARK RESOURCES BERHAD,5184,549564171,148691477,400872694,8950817,-51649532,37702570
DGB ASIA BERHAD,152,54245030,592548,53652482,3789236,-10211887,25849529
DIGI.COM BHD,6947,773531000,1092000,772439000, -   ,1508229000,-1508350000
DIGISTAR CORPORATION BHD,29,140739981,52131400,88608581,-481366,-28566204,29136714
DUFU TECHNOLOGY CORP. BHD,7233,95741500,71700,95669800,10073752,1845794,-15623966
DUTCH LADY MILK INDUSTRIES BHD,3026,404802000,299343000,105459000,120450000,-33421000,16937000
E.A.TECHNIQUE (M) BERHAD,5259,859400982,632515669,226885313,90291045,-64628729,-32681969
ECO WORLD DEVELOPMENT GROUP BERHAD,8206,5119132000,1288882000,3830250000,-8958000,-103898000,80768000
ECO WORLD INTERNATIONAL BERHAD,5283,3552961000,772125000,2780836000,-27579000,-1207419000,748665000
EG INDUSTRIES BHD,8907,238125000,44229000,193896000,16602000,-65393000,48395000
EITA RESOURCES BERHAD,5208,85527000,2357000,83170000,12976000,93000,-9290000
FIAMMA HOLDINGS BHD,6939,296265000,13547000,282718000,-15917000,15285000,751000
FRASER & NEAVE HOLDINGS BHD,3689,1636236000,2409000,1633827000,-170817000,455927000,-213599000
FTSE BURSA MALAYSIA KLCI ETF,0820EA,2991782,62428,2929354,30366,,-55176
GAMUDA BHD,5398,16839207000,8887681000,7951526000,502377000,-320168000,316599000
GENTING BHD,3182,17109000000,3862700000,13246300000,402100000,445400000,-805600000
GENTING MALAYSIA BERHAD,4715,27877200000,10300100000,17577100000,1945500000,-1374000000,1382300000
GENTING PLANTATIONS BERHAD,2291,6068586000,1228573000,4840013000,-29044000,218788000,-429856000
GLOBETRONICS TECHNOLOGY BHD,7022,197740000,807000,196933000,52196000,-181000,-51340000
GOODWAY INTEGRATED INDUSTRIES,7192,158443819,113847841,44595978,31348558,40014389,-36913531
GRAND CENTRAL ENTERPRISES BHD,5592,214635421,16170531,198464890,-2464985,8670291,-3940040
GREENYIELD BHD,136,41846547,4966475,36880072,-303083,1000376,-671220
HEKTAR REITS,5121,1268272805,632957258,635315547,83590808,-26886083,-65465783
HIAP TECK VENTURE BHD,5072,821861000,258330000,563531000,-16615000,-75832000,88198000
HUBLINE BHD,7013,200974832,86395118,114579714,-26492735,821321,24854567
iDIMENSION CONSOLIDATED BHD,174,45648861,10699568,34949293,-1601067,3169629,1174392
IGB REAL ESTATE INV TRUST,5227,5202966000,1436275000,3766691000,383561000,153489000,-469113000
INIX TECHNOLOGIES HOLDINGS BHD,94,18999019,2173501,16825518,-244574,-325,598650
INTEGRATED LOGISTICS BHD,5614,181928467,38918326,143010141,-3961739,1852274,-826526
IPMUDA BHD,5673,187926000,107906000,80020000,-8868000,7893000,868000
JAYCORP BHD,7152,113051000,667000,112384000,7654000,1151000,-9186000
JCY INTERNATIONAL BERHAD,5161,669331000,3457000,665874000,-2229000,38128000,-36067000
KIM TECK CHEONG CONSOLIDATED BERHAD,180,111530168,18383057,93147111,-3410490,-6275249,10930027
KLCC PROP&REITS-STAPLED SEC,5235SS,1977794000,1971494000,6300000,7281000,242997000,-258524000
KPJ HEALTHCARE BHD,5878,1552636000,577138000,975498000,95842000,76340000,-95848000
KUALA LUMPUR KEPONG BHD,2445,9393199000,6607570000,2785629,76922000,634227000,
KUANTAN FLOUR MILLS BHD,8303,,,-25911730,1151736,108190,
KUMPULAN H&L HIGH-TECH BHD,7033,106473038,14374816,92098222,1533592,-1089520,-1828833
KWANTAS CORPORATION BHD,6572,471283000,348000,470935000,23713000,158692000,-208743000
LONDON BISCUITS BHD,7126,720044000,395205000,324839000,-1319000,-54500000,63682000
LOTTE CHEMICAL TITAN HOLDING BERHAD,5284,8819318000,2041000,8817277000,26379000,527343000,-522791000
LPI CAPITAL BHD,8621,4240600000,2083800000,2156800000,221865000,-13000,-253130000
LUXCHEM CORPORATION BHD,5143,169907691,286516,169621175,-347151,11793639,-15923226
MALAKOFF CORPORATION BERHAD,5264,10293596000,1670536000,8623060000,385744000,-32236000,-381885000
MALAYSIA AIRPORTS HOLDINGS BHD,5014,9768420000,3436045000,6332375000,640745000,49250000,-671159000
MALAYAN UNITED INDUSTRIES BHD,3891,1201012000,490162000,710850000,4201000,-2053000,-2000000
MALAYSIAN BULK CARRIERS BHD,5077,607210000,272157000,335053000,-62005000,320142000,-81963000
MAXIS BERHAD,6012,26758224000,1264000,26756960000,269005000,1303142000,-1566290000
MALAYAN BANKING BHD,1155,4.57E+11,3.91E+11,65589267000,14541292000,-6865332000,-7039599000
MCE HOLDINGS BERHAD,7004,91141734,131861,91009873,-638840,669701,
MEDIA PRIMA BHD,4502,1261354000,328734000,932620000,205357000,58082000,-264492000
MELATI EHSAN HOLDINGS BHD,5129,192175498,4726540,187448958,-558703,1001492,-1332418
MENTIGA CORPORATION BHD,5223,122552369,22382362,100170007,9066124,-9126817,-164830
MYETF THOMSON REUTERS ASIA PACIFIC EX-JAPAN ISLAMIC AGRIBUSINESS,0826EA,18497218,76482,18420736,870022,,-1096400
METFSID,0825EA,70988870,146405,70842465,-28577164,,28498800
MALAYSIA MARINE AND HEAVY ENG,5186,1712329000,16328000,1696001000,62824000,-136602000,-11828000
MHC PLANTATIONS BHD,5026,225144701,17423728,207720973,-2891381,8319904,-5825956
MISC BHD,3816,31137794000,31137794000,23657050000,2544019000,-609617000,-2590475000
MKH BERHAD,6114,1120068619,95914871,1024153748,6482768,-49817962,33529160
MRCB-QUILL REIT,5123,2271705292,899415761,1372289531,105733958,-33770977,-124334280
MUI PROPERTIES BHD,3913,330583000,227082000,103501000,-2681000,3598000, -   
MULTI-USAGE HOLDINGS BHD,9539,58170799,5305814,52864985,-1297320,4110561,
MY E.G. SERVICES BHD,138,684764000,126338000,558426000,265911000,-143402000,-122515000
MyETF DJISLAMICMKTMSIATITANS25,0821EA,305932553,255770,305676783,4019529,,-6129552
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,53245915,87570,53158345,-346785,,134518
MYNEWS HOLDINGS BERHAD,5275,208746000,123000,208623000,-1117000,5973000,-6822000
NESTLE (M) BHD,4707,595266000,1772000,593494000,641887000,2988000,-644875000
NEXGRAM HOLDINGS BERHAD,96,240872815,16784401,224088414,-3917699,994,3894242
NOTION VTEC BHD,83,193914000,4304000,189610000,1293000,-44381000,1982000
NWP HOLDINGS BHD,5025,25979943,1956394,24023549,-4502254,741400,3747960
ORION IXL BERHAD,79,95571468,12874540,82696928,-3663104,-74587310,77469480
OSK HOLDINGS BHD,5053,3919469000,885508000,3033961000,-3877000,638386000,-583366000
OSK VENTURES INTERNATIONAL BHD,53,174894917,762721,174132196,13224434,-3361240,-9822254
P.A. RESOURCES BHD,7225,99937004,405057,99531947,-1067829,-36765919,37861266
PACIFIC & ORIENT BHD,6009,376437000,5580000,370857000,-10002000,25579000,-17191000
PAN MALAYSIA CORPORATION BHD,4081,275210000,74586000,200624000,-711000,18025000, -   
PAN MALAYSIA HOLDINGS BHD,1287,58541000,51000,58490000,-23000,332000,-462000
PAVILION REAL ESTATE INV TRUST,5212,6357724000,2379768000,3977956000,276359000,-517026000,326020000
PELANGI PUBLISHING GROUP BHD,7190,58755964,517782,58238182,-468562,3348114,-2306354
PETROL ONE RESOURCES BERHAD,7027,72022578,7617959,64404619,-365349,3677003,-3259360
