full name,code,Sector_main,sector,EPS,P/E,DY,DPS,RSI_status,Stochastic_status,Market_Cap (M),risk_klse,ta,tl,te,debt_ratio,debt-equity_ratio,risk_pdf,risk
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250, Main Market,Consumer Products & Services ,4.16,35,0,0,Neutral,Neutral,1800.7,low,1466151000,85003000,1381148000,0.057976975,0.061545178,low,low
ABLEGROUP BERHAD,7086, Main Market,Industrial Products & Services ,-0.37,-20,0,0,Neutral,Neutral,19.8,high,,,,,,,high
ABM FUJIYA BERHAD,5198, Main Market,Industrial Products & Services ,2.39,21,0,0,Neutral,Neutral,91.8,medium,,,,,,,medium
ACOUSTECH BERHAD,7120, Main Market,Consumer Products & Services ,-3.88,-12,0,0,Neutral,Neutral,88.5,high,,,,,,,high
ADVANCE SYNERGY BERHAD,1481, Main Market,Consumer Products & Services ,-0.53,-24,0,0,Neutral,Oversold,116.1,high,,,,,,,high
ADVANCECON HOLDINGS BERHAD,5281, Main Market,Construction ,2.64,15,0.0256,1,Overbought,Overbought,156.8,low,,,,,,,low
ADVANCED PACKAGING TECHNOLOGY (M) BHD,9148, Main Market,Industrial Products & Services ,5.09,37,0.0211,4,Neutral,Oversold,39,medium,,,,,,,medium
ADVENTA BERHAD,7191, Main Market,Health Care ,-17.37,-2,0,0,Neutral,Overbought,58.8,high,,,,,,,high
AE MULTI HOLDINGS BERHAD,7146, Main Market,Industrial Products & Services ,-0.69,-16,0,0,Neutral,Oversold,32.9,high,,,,,,,high
AEON CO. (M) BHD,6599, Main Market,Consumer Products & Services ,7.49,21,0,0,Neutral,Neutral,2246.4,low,,,,,,,low
AFFIN BANK BERHAD,5185, Main Market,Financial Services ,25.33,9,0.0216,4.9,Neutral,Oversold,4508.3,low,49130609000,41209665000,7920944000,0.838777818,5.20262042,medium,medium
AHMAD ZAKI RESOURCES BERHAD,7078, Main Market,Construction ,2.45,19,0.0185,0.88,Neutral,Neutral,284,low,706058000,466447000,239611000,0.660635529,1.946684418,medium,medium
AIRASIA GROUP BERHAD,5099, Main Market,Consumer Products & Services ,60.58,5,0.223,64,Neutral,Neutral,9591.5,low,9614148000,314125000,9300023000,0.032673202,0.033776798,low,low
AJINOMOTO (MALAYSIA) BERHAD,2658, Main Market,Consumer Products & Services ,97.77,19,0.025,46.5,Neutral,Neutral,1130.9,low,,,,,,,low
ALAM MARITIM RESOURCES BERHAD,5115, Main Market,Energy ,-18.91,-1,0,0,Neutral,Overbought,106.3,high,,,,,,,high
ALCOM GROUP BERHAD,2674, Main Market,Industrial Products & Services ,2.56,20,0,0,Neutral,Neutral,69.9,medium,,,,,,,medium
ALLIANCE BANK MALAYSIA BERHAD,2488, Main Market,Financial Services ,34.8,12,0.037,15.3,Neutral,Neutral,6409.2,low,,,,,,,low
AMCORP PROPERTIES BERHAD,1007, Main Market,Property ,7.3,7,0.0746,3.88,Neutral,Neutral,316.9,medium,,,,,,,medium
AMVERTON BERHAD,5959, Main Market,Property ,20.67,5,0,0,Neutral,Neutral,372.4,medium,,,,,,,medium
AMWAY (MALAYSIA) HOLDINGS BERHAD,6351, Main Market,Consumer Products & Services ,33.16,19,0.0448,27.5,Neutral,Neutral,1009.3,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0167,1.85,Neutral,Oversold,133.3,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0167,1.85,Neutral,Oversold,133.3,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0167,1.85,Neutral,Oversold,133.3,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0168,1.85,Neutral,Oversold,132.1,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0168,1.85,Neutral,Oversold,132.1,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.0168,1.85,Neutral,Oversold,132.1,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.017,1.85,Neutral,Oversold,130.9,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.017,1.85,Neutral,Oversold,130.9,low,,,,,,,low
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,7.22,15,0.017,1.85,Neutral,Oversold,130.9,low,,,,,,,low
ANN JOO RESOURCES BERHAD,6556, Main Market,Industrial Products & Services ,26.71,6,0.075,12,Neutral,Overbought,895.9,low,,,,,,,low
ANZO HOLDINGS BERHAD,9342, Main Market,Industrial Products & Services ,-0.42,-10,0,0,Neutral,Overbought,35.2,high,150808753,1478923,149329830,0.009806612,0.009903735,low,medium
APB RESOURCES BERHAD,5568, Main Market,Industrial Products & Services ,-7.53,-10,0,0,Neutral,Oversold,82.4,high,113590574,3061318,110529256,0.026950458,0.027696902,low,medium
APEX HEALTHCARE BERHAD,7090, Main Market,Health Care ,49.79,19,0.0144,13.5,Neutral,Neutral,1104.8,low,,,,,,,low
APFT BERHAD,5194, Main Market,Consumer Products & Services ,0.65,2,0,0,Neutral,Oversold,20.1,high,,,,,,,high
APM AUTOMOTIVE HOLDINGS BERHAD,5015, Main Market,Industrial Products & Services ,19.07,16,0.0161,5,Neutral,Neutral,625,low,582118000,3621000,578497000,0.006220388,0.006259324,low,low
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,18.9,21,0.0515,20,Neutral,Neutral,310.4,low,,,,,,,low
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,18.9,21,0.0515,20,Neutral,Neutral,310.4,low,,,,,,,low
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,18.9,21,0.051,20,Neutral,Neutral,313.6,low,,,,,,,low
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,18.9,21,0.051,20,Neutral,Neutral,313.6,low,,,,,,,low
APPASIA BERHAD,119, Ace Market,Technology ,0.13,66,0,0,Neutral,Oversold,29.3,medium,37778686,4624125,33154561,0.122400366,0.139471761,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0438,2.3,Neutral,Neutral,89,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0438,2.3,Neutral,Neutral,89,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0442,2.3,Neutral,Neutral,88.1,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,7.76,7,0.0442,2.3,Neutral,Neutral,88.1,medium,108677499,262600,108414899,0.002416324,0.002422176,low,medium
ARK RESOURCES HOLDINGS BERHAD,7007, Main Market,Property ,-5.46,-9,0,0,Neutral,Overbought,24.3,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-12,0,0,Neutral,Overbought,30.2,high,,,,,,,high
ASDION BERHAD,68, Ace Market,Technology ,-2.15,-13,0,0,Neutral,Neutral,32,high,,,,,,,high
