extracted_code,extracted_date,news
0001,2019-04-04,Scomnet’s bonus issue approved
0001,2019-04-26,Scomnet unit to continue being global supplier to Edwards Lifesciences
0001,2019-04-25,"Supercomnet, SteriPack are global supplier for New York-listed Edwards Lifesciences"
0001,2019-04-24,"Supercomnet at higher high, says AllianceDBS Research"
0001,2019-04-18,"NWP, Omesti, Redtone, Scomnet"
0002,2019-03-13,Malaysia's first and biggest-Korean themed retail zone opens in 1 Utama
0002,2019-03-14,"HDC signs MoU with Korean agency to enhance halal bilateral trade, investment"
0005,2019-03-15,"OCK, Ucrest, Orion, Bahvest, Tri-Mode, IWCity, Hiap Teck, Marine & General, Can-One, SeaLink, Tambun Indah, BFood, PCCS, Master-Pack, Uzma, Eden, Taliworks, Sinmah Cap"
0005,2019-04-22,"Inova Solutions, Inova Care form regional alliance with UCrest"
0007,2019-03-25,延续上周走势‧马股早盘低迷
0007,2019-04-04,"Off-Market Trades: PLS Plantations Bhd, PUC Bhd, Tasek Corp Bhd, United Plantations Bhd, KIP Real Estate Investment Trust, Widad Group Bhd"
0007,2019-03-18,美股涨带动‧马股开盘走高
0007,2019-03-27,PUC与Laputa Ventures合约改为非独家性质
0007,2019-03-19,投资者情绪转淡 拖累马股回落
0007,2019-03-18,"KLCI pares gains, up 0.38% as select blue chips lift"
0007,2019-03-18,蓝筹股走高 提振马股小涨0.38%
0007,2019-03-19,"KLCI edges up, struggles to breach 1,700 level"
0007,2019-03-19,马股小幅上升 乏力突破1700点
0007,2019-03-19,KLCI retreats as sentiment turns tepid
0007,2019-03-18,KLCI gains on expectations of dovish Fed announcements
0007,2019-03-18,蓝筹股推升 马股随区域扬0.21%
0007,2019-03-18,"KLCI tracks regional markets, up 0.21% as select blue chips lift"
0008,2019-04-04,柳谷系统获国能976万合约
0008,2019-04-04,"Trading ideas: Genting, Willowglen, MMC, AWC"
0008,2019-04-04,Willowglen wins TNB contract
0008,2019-04-04,"Genting, Genting Malaysia, Can-One, Kian Joo, Sino Hua-An, MMC Corp, AWC, KIP REIT and Willowglen MSC"
0008,2019-04-04,柳谷获国能976万合约
0008,2019-04-03,Willowglen gets terminal unit contract from TNB
0008,2019-04-25,Willowglen secures RM62.9m contracts in Singapore
0008,2019-04-26,柳谷获6290万柔河水务工程
0008,2019-04-27,"柳谷获6290万合约
今年可贡献净利"
0010,2019-04-09,"KLCI down 0.16% as IHH, MAHB drag"
0010,2019-03-27,"Public Bank, Genting lead KLCI lower"
0010,2019-03-27,FBM KLCI at year’s low in the absence of positive catalysts
0010,2019-03-26,大马卡合约将招标·艾力斯具竞争优势
0010,2019-03-27,KLCI pares loss after dipping to 3-month low
0010,2019-03-27,"KLCI extends fall; banks, telcos lead decline"
0010,2019-03-27,国行年报将出炉 ·马股半日跌6.46点
0010,2019-03-27,跌至3个月低位后 马股收复部分失地
